level MATVEC(SIGMA) VECMAT(SIGMA) COMM(SIGMA) NORM(SIGMA) p d-max comm-max comp-max allgather-max allreduce-max reducescatter-max gram-max mm-max nnls-max
6 0.7699549999999998 0.04285999999999999 0.04907699999999998 0.02651900000000001 80640.0 93.49970000000002 34.35138799999999 47.35291600000001 23.786913999999996 3.2268972000000002 7.5086162 1.5875973000000003 17.025201999999997 28.95768899999999
0 0.0 0.0 0.0 0.0 1680.0 6.56638 0.789307 5.52065 0.305988 0.0762884 0.409038 0.0854211 4.90928 0.528758
1 0.056713 0.064538 0.022295000000000002 0.014936 3360.0 8.7686 1.46347 6.436629999999999 0.5838129999999999 0.2098106 0.676809 0.0888133 5.42817 0.929573
2 0.09526799999999999 0.06495200000000001 0.024575 0.013387999999999999 6720.0 11.83907 2.667907 7.546279999999999 1.137962 0.435211 1.110006 0.13904149999999998 5.74882 1.688113
3 0.091278 0.048939 0.021573000000000002 0.014251999999999997 13440.0 16.04588 4.351717000000001 9.106746000000001 1.8903319999999997 0.6372793999999998 1.8492809999999997 0.24397039999999998 5.906550999999999 2.995174
4 0.169815 0.026695 0.026252 0.013831000000000001 26880.0 24.152119999999996 8.099262000000001 11.826996999999999 3.8821499999999993 1.1336914 3.129408999999999 0.47397219999999995 5.668175999999999 5.750705000000001
5 0.333082 0.03329599999999999 0.03454900000000001 0.018354999999999996 53760.0 41.653659999999995 15.487558000000003 18.676893999999997 7.729806 2.2051260999999998 5.638241000000001 0.9045807999999997 6.663439 11.219174999999998
6 0.6962920000000001 0.040969 0.06132300000000001 0.026565000000000002 107520.0 111.25138 59.93385300000002 38.951997 47.478063 3.4920650999999987 9.174170999999996 1.6421265 15.580625999999997 21.98108399999999
0 0.0 0.0 0.0 0.0 2100.0 5.81445 0.801689 4.7683 0.348914 0.0751232 0.383015 0.0383308 4.28618 0.450581
1 0.074818 0.05315 0.014525999999999999 0.011573 4200.0 8.46223 1.704356 5.651809999999999 0.732409 0.247278 0.740319 0.12207490000000001 4.6738599999999995 0.8701300000000001
2 0.099149 0.07017699999999999 0.030199999999999998 0.014003000000000002 8400.0 11.22546 2.8377209999999997 6.698269999999999 1.284054 0.3461802 1.2379609999999999 0.20875489999999997 4.919700000000001 1.601018
3 0.15295 0.032248 0.027051 0.012688 16800.0 15.45234 4.489413 8.616929 1.85078 0.5561881 2.131886 0.31511610000000007 5.530321 2.8195360000000003
4 0.18823499999999999 0.018317999999999997 0.03143 0.02267 33600.0 24.512690000000003 8.475024000000001 12.517415999999999 3.934008 1.0341722 3.580468 0.5541811 6.648379 5.393174
5 0.323618 0.035268999999999995 0.03802899999999999 0.019398 67200.0 73.42100999999998 43.895905 23.036234 35.58085599999999 2.0163783 6.478152 1.0343461000000003 11.528392999999998 10.608225999999997
6 0.6907410000000002 0.053966999999999994 0.06055899999999999 0.035179999999999996 134400.0 123.84344000000002 71.83389 41.81369 60.09988300000002 2.9678761000000007 9.113527999999999 1.8193032000000002 13.438114999999998 26.87821099999999
