level MATVEC(SIGMA) VECMAT(SIGMA) COMM(SIGMA) NORM(SIGMA) p d-max comm-max comp-max allgather-max allreduce-max reducescatter-max gram-max mm-max nnls-max
6 0.001140 0.000735 0.000087 0.002370 1 0.99173 0.00982029 0.78234 0.0028841 0.000954564 0.00598163 0.00394108 0.176982 0.601417
6 0.001373 0.000832 0.000093 0.002652 1 0.992754 0.0103037 0.782023 0.00288549 0.000966849 0.00645132 0.00415416 0.198596 0.579272
5 0.005674 0.003211 0.000248 0.008695 1 1.98539 0.0210455 1.70191 0.00371027 0.000978268 0.016357 0.00792647 0.700588 0.993391
5 0.007898 0.004614 0.000320 0.008457 1 2.01461 0.0283967 1.70361 0.00412593 0.000976912 0.0232939 0.00963009 1.00799 0.685993
6 0.001250 0.000792 0.000092 0.002570 1 0.990973 0.0103026 0.780709 0.00294902 0.000958491 0.00639506 0.00412976 0.193373 0.583206
6 0.001737 0.001101 0.000109 0.003219 1 0.991136 0.0114314 0.773677 0.00304349 0.00096124 0.00742669 0.00453157 0.243848 0.525298
7 0.000576 0.000417 0.000060 0.001433 1 0.986605 0.00821069 0.788734 0.00284992 0.000973531 0.00438724 0.00339535 0.0977851 0.687553
7 0.000890 0.000567 0.000073 0.001934 1 0.985131 0.00909757 0.782383 0.00296433 0.000946162 0.00518707 0.00371047 0.136044 0.642629
8 0.000075 0.000077 0.000028 0.000125 1 0.496602 0.0205912 0.275621 0.0167882 0.00205083 0.00175218 0.00382371 0.10787 0.163928
8 0.000085 0.000085 0.000028 0.000153 1 0.58992 0.0194359 0.348424 0.015577 0.00215276 0.00170615 0.00474918 0.163822 0.179853
7 0.000760 0.000524 0.000068 0.001707 1 0.985572 0.0086054 0.786155 0.0028711 0.00093258 0.00480172 0.00357804 0.123208 0.659368
7 0.000635 0.000415 0.000058 0.001353 1 0.985461 0.00803336 0.78698 0.00283525 0.00097545 0.00422266 0.00336618 0.0935873 0.690027
6 0.002218 0.001339 0.000133 0.003062 1 0.995915 0.0129974 0.762047 0.00319518 0.00095816 0.00884406 0.00507159 0.312112 0.444864
6 0.001340 0.000887 0.000096 0.002741 1 0.991629 0.0105905 0.777764 0.0030322 0.000953745 0.00660454 0.00424938 0.20618 0.567334
7 0.000897 0.000575 0.000074 0.001856 1 0.984994 0.00887527 0.784384 0.00279998 0.000961247 0.00511404 0.0036555 0.135072 0.645656
7 0.000618 0.000402 0.000058 0.001292 1 0.986154 0.00793339 0.788614 0.00274883 0.000993345 0.00419121 0.00332503 0.0883495 0.696939
7 0.000491 0.000373 0.000056 0.001212 1 0.987147 0.0078436 0.789992 0.00279682 0.000988432 0.00405835 0.00328452 0.0832577 0.70345
7 0.000752 0.000502 0.000067 0.001618 1 0.986381 0.00846168 0.787543 0.0028033 0.000951478 0.0047069 0.00350713 0.115929 0.668107
7 0.000556 0.000414 0.000057 0.001387 1 0.986049 0.00803689 0.789342 0.00277934 0.000963357 0.0042942 0.00337484 0.0966601 0.689308
7 0.000588 0.000383 0.000057 0.001263 1 0.986593 0.00784125 0.788601 0.00270789 0.000982847 0.00415051 0.00328965 0.0863224 0.698989
7 0.000855 0.000546 0.000070 0.001785 1 0.985066 0.00876876 0.785565 0.00276904 0.000956009 0.00504371 0.00361114 0.130136 0.651818
7 0.000690 0.000446 0.000063 0.001453 1 0.984891 0.0081793 0.787805 0.00274729 0.000963846 0.00446816 0.00341264 0.100324 0.684069
6 0.001446 0.000908 0.000101 0.002934 1 0.990803 0.0107981 0.775253 0.00297032 0.000944293 0.00688351 0.00431977 0.219379 0.551554
6 0.001024 0.000683 0.000081 0.002230 1 0.993872 0.00952518 0.787674 0.00286885 0.000943515 0.00571281 0.00386979 0.165248 0.618556
8 0.000220 0.000178 0.000038 0.000416 1 0.659629 0.0182954 0.399696 0.0136741 0.00173136 0.00288999 0.0072423 0.0368058 0.355648
8 0.000198 0.000182 0.000036 0.000399 1 0.660478 0.0181721 0.403123 0.0135765 0.00175391 0.00284169 0.00700727 0.0347644 0.361351
6 0.001008 0.000667 0.000080 0.002150 1 0.993716 0.00935903 0.788998 0.00281961 0.000956054 0.00558337 0.00383269 0.160014 0.625152
6 0.001411 0.000892 0.000095 0.002760 1 0.990688 0.0104969 0.777436 0.00289334 0.0009664 0.0066372 0.00419097 0.206526 0.56672
6 0.001241 0.000803 0.000091 0.002602 1 0.992656 0.0102211 0.781198 0.00293796 0.000948529 0.00633458 0.00410494 0.194299 0.582794
6 0.001638 0.001060 0.000108 0.003275 1 0.991004 0.011454 0.770963 0.00305231 0.00094933 0.00745239 0.00454552 0.247336 0.519081
7 0.000837 0.000554 0.000072 0.001789 1 0.985553 0.00885257 0.785873 0.00291666 0.000940517 0.00499539 0.00364468 0.128724 0.653505
7 0.000926 0.000568 0.000072 0.001773 1 0.984726 0.00882614 0.78368 0.00290717 0.000942699 0.00497627 0.0036218 0.128527 0.651532
6 0.001901 0.001205 0.000118 0.003382 1 0.990196 0.0121739 0.764979 0.00302259 0.000958702 0.0081926 0.00477641 0.279326 0.480876
6 0.001662 0.001059 0.000109 0.003306 1 0.990422 0.011468 0.769958 0.00297134 0.000964385 0.00753224 0.00453811 0.24975 0.51567
6 0.003697 0.002122 0.000184 0.006085 1 1.98738 0.0162889 1.72758 0.00336905 0.000969359 0.0119505 0.0062982 0.467238 1.25404
6 0.004681 0.002723 0.000213 0.007386 1 1.98456 0.0186851 1.71166 0.00347852 0.000967133 0.0142394 0.00704344 0.586232 1.11839
7 0.000949 0.000665 0.000080 0.002147 1 0.993585 0.00937226 0.788579 0.00279345 0.00095808 0.00562073 0.00382854 0.158391 0.62636
7 0.000800 0.000508 0.000065 0.001544 1 0.985271 0.00836187 0.787547 0.00274784 0.000947839 0.0046662 0.00345637 0.108919 0.675172
7 0.000770 0.000504 0.000069 0.001658 1 0.984319 0.00856699 0.786353 0.00280606 0.000945526 0.0048154 0.00354135 0.1188 0.664012
7 0.000678 0.000440 0.000061 0.001421 1 0.986104 0.00813947 0.788888 0.00274741 0.000960522 0.00443154 0.00338482 0.0988405 0.686663
7 0.000254 0.000225 0.000043 0.000526 1 0.828833 0.0208112 0.533945 0.0160284 0.0020976 0.00268518 0.0102332 0.0440503 0.479662
7 0.000247 0.000209 0.000040 0.000619 1 0.796161 0.0204609 0.504314 0.0157982 0.00199198 0.00267072 0.00900585 0.0420819 0.453226
7 0.000859 0.000561 0.000070 0.001814 1 0.985364 0.00879759 0.786337 0.00281771 0.000935105 0.00504478 0.00364677 0.131554 0.651136
7 0.000924 0.000579 0.000074 0.001855 1 0.984624 0.00886845 0.783008 0.00282702 0.000949327 0.0050921 0.0036544 0.1344 0.644953
6 0.002036 0.001247 0.000125 0.002836 1 0.987896 0.0124951 0.763118 0.00312071 0.000943532 0.00843088 0.00495938 0.293569 0.46459
6 0.002172 0.001335 0.000126 0.003365 1 0.987192 0.0127223 0.75817 0.00315068 0.000961844 0.00860974 0.00498111 0.299485 0.453704
7 0.001280 0.000828 0.000093 0.002679 1 0.992417 0.01038 0.779934 0.00290553 0.000966236 0.00650819 0.00414204 0.201322 0.57447
7 0.001321 0.000852 0.000092 0.002679 1 0.992149 0.010383 0.779879 0.00290202 0.000970947 0.00651005 0.00414349 0.199956 0.575779
7 0.000302 0.000245 0.000044 0.000746 1 0.988505 0.00957916 0.684095 0.00460163 0.00172072 0.00325681 0.0101577 0.0502775 0.623659
7 0.000376 0.000278 0.000048 0.000885 1 0.989056 0.00810579 0.769006 0.0035212 0.00107702 0.00350757 0.00409976 0.058179 0.706727
6 0.001359 0.000872 0.000098 0.002826 1 0.993487 0.0105983 0.782966 0.00293661 0.000956252 0.00670546 0.00424828 0.21216 0.566558
6 0.001283 0.000843 0.000090 0.002561 1 0.993209 0.0101309 0.785227 0.00290697 0.000942957 0.00628093 0.00408941 0.19204 0.589098
7 0.000600 0.000423 0.000061 0.001397 1 0.98719 0.00808996 0.791678 0.00277947 0.000956483 0.00435401 0.00339146 0.0974074 0.690879
7 0.000726 0.000486 0.000066 0.001606 1 0.986028 0.00846002 0.788225 0.00280653 0.000945556 0.00470793 0.0035041 0.113842 0.670879
8 0.000364 0.000303 0.000050 0.000919 1 0.987589 0.0080722 0.786927 0.00346649 0.00104985 0.00355586 0.00406454 0.0613356 0.721526
8 0.000316 0.000252 0.000044 0.000797 1 0.988918 0.00954617 0.697261 0.00454108 0.00171617 0.00328892 0.00397935 0.0533723 0.63991
7 0.001058 0.000694 0.000083 0.002263 1 0.985147 0.00961929 0.782035 0.00287134 0.000940111 0.00580784 0.00389059 0.169181 0.608964
7 0.001478 0.000945 0.000099 0.002953 1 0.991743 0.0108936 0.779326 0.00297802 0.000948991 0.00696656 0.00435442 0.224113 0.550858
8 0.000197 0.000185 0.000039 0.000509 1 0.66022 0.0180443 0.404234 0.0134688 0.00174874 0.00282669 0.00696925 0.0349087 0.362357
8 0.000239 0.000209 0.000038 0.000601 1 0.742068 0.0194936 0.474438 0.01483 0.00189234 0.0027713 0.00856074 0.0407754 0.425101
7 0.000704 0.000480 0.000064 0.001572 1 0.985184 0.00832649 0.79033 0.00274352 0.000937638 0.00464534 0.00348883 0.112205 0.674636
7 0.000726 0.000478 0.000064 0.001576 1 0.9866 0.00829352 0.791182 0.00273663 0.000941024 0.00461586 0.00346652 0.111917 0.675799
8 0.000261 0.000213 0.000044 0.000667 1 0.827783 0.018648 0.541094 0.0139276 0.00207161 0.0026488 0.0103249 0.0451037 0.485666
8 0.000302 0.000251 0.000043 0.000778 1 0.988233 0.0095494 0.694089 0.00453568 0.00172425 0.00328946 0.00390964 0.0518618 0.638317
6 0.005119 0.002895 0.000231 0.007898 1 1.98446 0.0195463 1.71384 0.00351931 0.000967696 0.0150593 0.00741689 0.629129 1.0773
6 0.001930 0.001223 0.000123 0.003796 1 0.990382 0.0123322 0.768803 0.00305455 0.000950412 0.00832724 0.00489398 0.288984 0.474925
